Sentence,Noun,Pronoun
He came quickly after his work.,['work'],"['He', 'his']"
Better to drive slowly but carefully.,[],[]
"Suddenly, the bus pulled up.",['bus'],[]
I came mostly to see you.,[],"['I', 'you']"
"Most of the time, he goes out on Saturday nights.","['time', 'nights']",['he']
Have you eaten enough?,[],['you']
We are rather busy these days.,['days'],['We']
He is quite introverted.,[],['He']
He seldom visits his parents.,['parents'],"['He', 'his']"
He often takes the bus to come.,['bus'],['He']
You always have to double lock the door in this neighborhood.,"['door', 'neighborhood']",['You']
We never went on holidays.,['holidays'],['We']
I go to the cinema from times to times.,"['cinema', 'times', 'times']",['I']
He travelled a lot when he was young.,['lot'],"['He', 'he']"
"You work little, but you earn a lot of money.","['lot', 'money']","['You', 'you']"
"Generally, we go to bed before midnight.","['bed', 'midnight']",['we']
I am going shopping now.,[],['I']
I went to the garden with the kids yesterday.,"['garden', 'kids', 'yesterday']",['I']
"Today, I have nothing special to do.",['Today'],"['I', 'nothing']"
We will talk about that tomorrow.,['tomorrow'],"['We', 'that']"
We will meet later.,[],['We']
My letter has finally arrived.,['letter'],['My']
She is constantly moaning.,[],['She']
He has already been to Mexico.,[],['He']
He lives far from downtown.,['downtown'],['He']
It happened next to our house.,['house'],"['It', 'our']"
You are less available than before.,[],['You']
"The more I think about it, the more I am satisfied with my choice.",['choice'],"['The', 'I', 'it']"
"Go read somewhere else, the girl needs to sleep.",['girl'],[]
He has almost finished his meal.,['meal'],"['He', 'his']"
"We arrived too late, we could not get in.",[],"['We', 'we']"
He too wants to join the project.,['project'],['He']
They are going to the cinema together tomorrow.,"['cinema', 'tomorrow']",['They']
The dog is burried behind the house.,"['dog', 'house']",[]
He looked for his jacket in the wardrobe but he did not thought about looking over it.,"['jacket', 'wardrobe']","['He', 'his', 'he']"
"My book is no longer on the table, he might have fallen underneath it.","['book', 'table']","['My', 'he', 'it']"
Do not let the cat walk on the table.,"['cat', 'table']",[]
The bank is between the chemist and the bus stop.,"['bank', 'chemist', 'bus']",[]
He arrived an hour before the show.,"['hour', 'show']",['He']
Your brother will come after lunch.,"['brother', 'lunch']",['Your']
The plates are next to the glasses.,"['plates', 'glasses']",[]
We only have two children.,['children'],['We']
Do you really want to go to the cinema?,['cinema'],['you']
He came by for a bit and then he left.,['bit'],"['He', 'he']"
The sponges are under the sink.,"['sponges', 'sink']",[]
"Speaking about your studies, how did your exams go?","['studies', 'exams']","['your', 'your']"
He works even when he is ill.,[],"['He', 'he']"
The kids left the toys out of the box.,"['kids', 'toys', 'box']",[]
The cat stays inside the house all day long.,"['cat', 'house', 'day']",[]
The kids are playing outside.,['kids'],[]
"Come inside, it is freezing cold outside.",[],['it']
The rice is in the fridge.,"['rice', 'fridge']",[]
She comes regularly to give him French lessons.,['lessons'],"['She', 'him']"
He forgives easily but he never forgets.,[],"['He', 'he']"
The debt crisis has recently gotten worse.,"['debt', 'crisis']",[]
He has planned his work wisely.,['work'],"['He', 'his']"
I can possibly come this weekend if you want to.,['weekend'],"['I', 'you']"
I go to work merrily on Mondays.,[],['I']
"Immediatly after the elections, he went on holidays.","['elections', 'holidays']",['he']
I completely forgot to bring you back your book.,['book'],"['I', 'you', 'your']"
"After having spoken to him violently, he apologized.",[],"['him', 'he']"
He bound the boles together firmly with a rope.,"['boles', 'rope']",['He']
I answered him politely but firmly.,[],"['I', 'him']"
"Honestly, do you think your opinion will change anything?",['opinion'],"['you', 'your', 'anything']"
His son simply dropped university.,"['son', 'university']",['His']
Crickets periodically devastate crops.,"['Crickets', 'crops']",[]
The situation could potentially go out of control.,"['situation', 'control']",[]
They obviously did not answer the provocation.,['provocation'],['They']
He calmly did his calculations again from the beginning.,"['calculations', 'beginning']","['He', 'his']"
They spoke yesterday evening for a long time and they have patched things up.,"['yesterday', 'evening', 'time']","['They', 'they']"
The country widely suffered from the economic crisis.,"['country', 'crisis']",[]
There surely is a better explanation.,['explanation'],['There']
"Naturally, he did not do what he was asked to.",[],"['he', 'what', 'he']"
It is precisely for this reason that I did not come.,['reason'],"['It', 'that', 'I']"
He does this movement mechanically.,['movement'],['He']
He works more efficiently on Mondays.,[],['He']
"Listen to me, I am talking to you seriously.",[],"['me', 'I', 'you']"
He is horribly full of himself.,[],"['He', 'himself']"
He distributed his lands generously.,['lands'],"['He', 'his']"
The mother protects her child instictively.,"['mother', 'child']",['her']
I think I saw a panther.,['panther'],"['I', 'I']"
The antelope scampered at the sight of the lion.,"['antelope', 'sight', 'lion']",[]
The Guinea pig is a rodent.,"['pig', 'rodent']",[]
The hamster is biting the bars of its cage.,"['hamster', 'bars', 'cage']",['its']
Pink flamingos can live in extreme conditions.,"['flamingos', 'conditions']",[]
The rabbit ran over in its burrow.,"['rabbit', 'burrow']",['its']
The hare was blinded by the headlights.,"['hare', 'headlights']",[]
The squirrel jumped out from the tree.,"['squirrel', 'tree']",[]
The goose rushed at the little boy.,"['goose', 'boy']",[]
The turkey clucked when it saw the turkey cock.,"['turkey', 'turkey', 'cock']",['it']
The turkey was eaten yesterday night,"['turkey', 'yesterday', 'night']",[]
The doe is in alarm.,"['doe', 'alarm']",[]
The deer is being chased by the dogs.,"['deer', 'dogs']",[]
The fawn suckles from its mother.,"['fawn', 'suckles', 'mother']",['its']
The hyena giggled loudly.,['hyena'],[]
Dromedaries have one bump while camels have two.,"['Dromedaries', 'bump', 'camels']",[]
A scorpio sting can be deadly.,['sting'],[]
The hedgehog curled up to protect himself.,['hedgehog'],['himself']
The turtle put its head back into its carapace.,"['turtle', 'head', 'carapace']","['its', 'its']"
Kangaroo leaps can reach up to 13 meters.,"['leaps', 'meters']",[]
Koalas are very dependent upon eucalyptus leaves for their survival.,"['eucalyptus', 'survival']",['their']
The Nile Perch made many fishes disappear recently.,['fishes'],[]
The carp is a common fish of our rivers.,"['carp', 'fish', 'rivers']",['our']
Trouts are freshwater fish.,"['Trouts', 'freshwater', 'fish']",[]
The goldfish has been eaten by the cat.,"['goldfish', 'cat']",[]
"Your canari is full of mites, you should treat it.","['canari', 'mites']","['Your', 'you', 'it']"
The triton went out of the pond.,['pond'],[]
Leeches have a particularly developed sense of smell.,"['Leeches', 'sense', 'smell']",[]
Vultures use updrafts to move.,"['Vultures', 'updrafts']",[]
Red tuna is intensively fished.,['tuna'],[]
Do you want to take another slice of salmon?,"['slice', 'salmon']",['you']
This crab has a claw which is bigger than its other one.,"['crab', 'claw']","['which', 'its']"
Do you also eat the head of the shrimp?,"['head', 'shrimp']",['you']
Your son is gathering shells on the beach.,"['son', 'shells', 'beach']",['Your']
The snail went out of its shell.,"['snail', 'shell']",['its']
The little girl threw the starfish away into the sea.,"['girl', 'starfish', 'sea']",[]
Mussels are eaten with French fries in Belgium.,"['Mussels', 'fries']",[]
Oysters are eaten alive.,['Oysters'],[]
The octopus released some ink to make its escape easier.,"['octopus', 'ink', 'escape']",['its']
A crushed bug emits a strong smell.,"['bug', 'smell']",[]
The chameleon shifted colour once more.,"['chameleon', 'colour']",[]
Eels can move on dry land.,"['Eels', 'land']",[]
Horseflies stings are very painful.,"['Horseflies', 'stings']",[]
Praying mantis eat their male after mating.,"['mantis', 'male', 'mating']",['their']
"The flat is full of moths, clothes have been eaten up.","['flat', 'moths', 'clothes']",[]
The canary has been refusing to sing for weeks.,"['canary', 'weeks']",[]
The crow coaked loudly.,['crow'],[]
The raven held a piece of cheese in his beak.,"['raven', 'piece', 'cheese']",['his']
The heron is perched in the tree.,"['heron', 'tree']",[]
The owl hooted all night long.,"['owl', 'night']",[]
The owl spit a ball.,"['owl', 'ball']",[]
The albatros can fly over large distances.,"['albatros', 'distances']",[]
The seagull landed on a rock.,"['seagull', 'rock']",[]
The chimpazee is making faces.,"['chimpazee', 'faces']",[]
The otter is sensitive to river pollution.,"['otter', 'river', 'pollution']",[]
The raccoon washes its food before eating it.,"['raccoon', 'food']","['its', 'it']"
The silk-worm was plunged into boiling water.,"['silk', 'worm', 'boiling']",[]
"I would like a pizza with achovies, please.","['pizza', 'achovies']",['I']
A school of sardines has been spotted by a helicopter.,"['school', 'sardines', 'helicopter']",[]
Squids are a typical dish of southern France.,"['Squids', 'dish']",[]
The sole is a fish which merges with sand.,"['sole', 'fish', 'sand']",['which']
The tail of the ray can contain a lethal venom.,"['tail', 'ray', 'venom']",[]
Snails and slugs are molluscs.,"['Snails', 'slugs', 'molluscs']",[]
Marsupials live mostly in Australia.,['Marsupials'],[]
Dolphins are not fishes but marine mammals.,"['Dolphins', 'fishes', 'mammals']",[]
He has three ursin stings in the foot.,"['ursin', 'stings', 'foot']",['He']
The mangoose finally killed the cobra.,"['mangoose', 'cobra']",[]
The crow opened the walnut with its beak.,"['crow', 'walnut', 'beak']",['its']
Jackals live in small groups.,"['Jackals', 'groups']",[]
Millipedes cross the road carefully,"['Millipedes', 'road']",[]
Centipedes live in the litter.,"['Centipedes', 'litter']",[]
Tarentulas are eaten in Southeast Asia.,['Tarentulas'],[]
Crabs and shrimps are crustaceans.,"['Crabs', 'shrimps', 'crustaceans']",[]
Cods are victims of overfishing.,"['Cods', 'victims']",[]
The tentacles of this octopus are at least two meters long.,"['tentacles', 'octopus', 'meters']",[]
Lobster is a very pricey meal.,['meal'],[]
The pelican swallowed three fishes at a time.,"['pelican', 'fishes', 'time']",[]
Plancton is at the base of the food chain.,"['base', 'food', 'chain']",[]
Tadpoles metamophose into frogs after a few weeks.,"['Tadpoles', 'frogs', 'weeks']",[]
The stork nested on the chimney.,"['stork', 'chimney']",[]
The caterpillar is making its cocoon.,"['caterpillar', 'cocoon']",['its']
The marmot is digging its burrow.,"['marmot', 'burrow']",['its']
The fur of this animal is very expensive.,"['fur', 'animal']",[]
The skin of the cow is used to make leather.,"['skin', 'cow', 'leather']",[]
The claws of the cat are retractile.,"['claws', 'cat']",[]
The fangs of the cat were covered with blood.,"['fangs', 'cat', 'blood']",[]
There are pigeon feathers all over the room.,"['pigeon', 'feathers', 'room']",['There']
The turkey giggles to impress the female turkey.,"['turkey', 'giggles', 'turkey']",[]
Sheep bleated while on their way back to the stable.,"['Sheep', 'way']",['their']
The studhorse neighed before galloping away.,['studhorse'],[]
You can hear a crow cawing far away.,['crow'],['You']
The lion roared in the savanna.,"['lion', 'savanna']",[]
Cows moo when they are scared,"['Cows', 'moo']",['they']
The neighbour's dog growled when he saw the children.,"['neighbour', 'dog', 'children']",['he']
The cat is meowing in front of the fridge.,"['cat', 'front', 'fridge']",[]
The dogs barked all night long.,"['dogs', 'night']",[]
They sell turtle shells at the market.,"['turtle', 'shells', 'market']",['They']
The fish scales should be removed before putting it in the oven.,"['fish', 'scales', 'oven']",['it']
The cat hurt his paw.,"['cat', 'paw']",['his']
A shark fin alarmed the surfers.,"['shark', 'fin', 'surfers']",[]
Zebras rays do not constitute a good camouflage.,"['Zebras', 'rays', 'camouflage']",[]
Panthers spots are black.,"['Panthers', 'spots']",[]
The eagle grasped the lamb into its claws.,"['eagle', 'lamb', 'claws']",['its']
The cat uses its tail to keep its balance.,"['cat', 'tail', 'balance']","['its', 'its']"
The monkey cub suckled the teat of its mother.,"['monkey', 'cub', 'teat']",['its']
The horse gave him a kick with his hoof.,"['horse', 'kick', 'hoof']","['him', 'his']"
The tiger is a wild animal.,"['tiger', 'animal']",[]
It is a domestic boar but it is still dangerous.,['boar'],"['It', 'it']"
Do you have pets at home?,"['pets', 'home']",['you']
The ants nest was busy.,"['ants', 'nest']",[]
The termitary seemed empty.,['termitary'],[]
The gorilla tried to intimidate the poacher.,"['gorilla', 'poacher']",[]
The macaque bit his hand.,"['macaque', 'hand']",['his']
Urang utangs are threatened by palm oil culture.,"['utangs', 'palm', 'oil']",[]
There is a spring on its land.,"['spring', 'land']","['There', 'its']"
Sloths live in Amazonia.,['Sloths'],[]
My father had his leg eaten by an alligator.,"['father', 'leg', 'alligator']","['My', 'his']"
Cobra venom is deadly.,"['Cobra', 'venom']",[]
A viper was warming up in the sun.,"['viper', 'sun']",[]
This grass-snake is sloughing its skin.,"['grass', 'snake', 'skin']",['its']
A rattlesnake was coiled up around the branch.,"['rattlesnake', 'branch']",[]
Lizards regulate their body temperature by sunbathing.,"['Lizards', 'body', 'temperature']",['their']
Toucans beaks are very coloured.,['beaks'],[]
The hawk swooped down on its prey.,"['hawk', 'prey']",['its']
Parrots can live up to eighty years.,"['Parrots', 'years']",[]
Parakeets often live in pairs.,"['Parakeets', 'pairs']",[]
A condor flied high in the sky.,"['condor', 'sky']",[]
The ostrich burried its head into the sand.,"['ostrich', 'head', 'sand']",['its']
"Penguins can fly, unlike ...",['Penguins'],[]
Penguins can swim over large distances to reach fishing zones.,"['Penguins', 'distances', 'fishing']",[]
White bears were found drowned.,['bears'],[]
The coyote seemed to be following a track.,"['coyote', 'track']",[]
"Gynecologists deal with vagina problems, among others.","['Gynecologists', 'vagina', 'problems']",[]
"Among primates, the human being is the one with the biggest penis.","['primates', 'being', 'penis']",[]
His shirt was wet at the level of his armpits.,"['shirt', 'level', 'armpits']","['His', 'his']"
She twisted her ankle when she fell in the stairs.,"['ankle', 'stairs']","['She', 'her', 'she']"
He has a permanent pain between the scapulas.,"['pain', 'scapulas']",['He']
Tears rolled on his cheeks.,"['Tears', 'cheeks']",['his']
His tongue is white.,['tongue'],['His']
The doctor took a sample of his saliva.,"['doctor', 'sample', 'saliva']",['his']
His lymph nodes were swollen because of the infection.,"['lymph', 'nodes', 'infection']",['His']
He had only one testicle left after his motorcycle accident.,"['testicle', 'motorcycle', 'accident']","['He', 'his']"
Breast cancers are detected more and more precociously.,"['Breast', 'cancers']",[]
Some people have three nipples.,"['people', 'nipples']",[]
He is trimming his nails.,['nails'],"['He', 'his']"
Spinal nerves are the nerves emerging from the spinal cord.,"['nerves', 'nerves', 'cord']",[]
Neurons are little renewed during adulthood.,"['Neurons', 'adulthood']",[]
He has a scar under the navel.,"['scar', 'navel']",['He']
She has a bruise on her forearm.,"['bruise', 'forearm']","['She', 'her']"
"Her immune system is depressed, she has little white blood cells.","['system', 'blood', 'cells']","['Her', 'she']"
Red blood cells carry oxygen throughout the body.,"['blood', 'cells', 'oxygen']",[]
The body develops antibodies againts parasites.,"['body', 'againts', 'parasites']",[]
He has got a problem with one of his heart valves.,"['problem', 'heart', 'valves']","['He', 'his']"
Your eyelids are heavy.,['eyelids'],['Your']
She had prominent cheekbones just like her sister.,"['cheekbones', 'sister']","['She', 'her']"
Her face did not show any emotion.,"['face', 'emotion']",['Her']
She clutched her fist to hide her pain.,"['fist', 'pain']","['She', 'her', 'her']"
He broke his heel by falling in the stairs.,"['heel', 'stairs']","['He', 'his']"
He has tensed up jaws.,['jaws'],['He']
He fractured his kneecap when he fell on his knee,"['kneecap', 'knee']","['He', 'his', 'he']"
He is feeling a stiffness in his neck.,"['stiffness', 'neck']","['He', 'his']"
Abdominal organs are visible on the echography.,"['organs', 'echography']",[]
The pancreas produces juices essential for digestion.,"['pancreas', 'juices', 'digestion']",[]
We can see almost all his squeleton on the radios.,"['squeleton', 'radios']","['We', 'his']"
The spinal cord goes through the spine.,"['cord', 'spine']",[]
She broke one of her teeth.,['teeth'],"['She', 'her']"
His throat is hoarse because of the cold.,"['throat', 'cold']",['His']
He got a punch at the torso level.,"['punch', 'torso', 'level']",['He']
She has large hips,['hips'],['She']
Capillaries are very small blood vessels.,"['Capillaries', 'blood', 'vessels']",[]
People wear the wedding band at the left annular.,"['People', 'wedding', 'band']",[]
She pointed her index at him.,['index'],"['She', 'her', 'him']"
She has fractured her medium finger.,['finger'],"['She', 'her']"
She has a slint at her little finger.,"['slint', 'finger']","['She', 'her']"
He has a scar at the pubis level.,"['scar', 'pubis', 'level']",['He']
The pelvis is another name of the,"['pelvis', 'name']",['the']
He had to do a radio of the pelvis.,['radio'],['He']
He broke his clavicle at a rugby practice.,"['clavicle', 'practice']","['He', 'his']"
"""A sane mind in a sane body"" is our motto.","['mind', 'body', 'motto']",['our']
The ostrich burried its head into the sand.,"['ostrich', 'head', 'sand']",['its']
One has to strech his legs after running.,['legs'],['his']
He broke his arm in a skiing accident.,"['arm', 'skiing', 'accident']","['He', 'his']"
She is flexible enough to touch her feet with her hands.,"['feet', 'hands']","['She', 'her', 'her']"
His left hand is very swollen.,['hand'],['His']
She dislocated her shoulder when she fell off her bike.,"['shoulder', 'bike']","['She', 'her', 'she']"
She sees a physiotherapist for her knee problems.,"['physiotherapist', 'knee', 'problems']","['She', 'her']"
He bumped his elbow on the door handle.,"['elbow', 'door', 'handle']","['He', 'his']"
I have sprained my wrist when I fell.,['wrist'],"['I', 'my', 'I']"
I cannot bend my finger anymore.,['finger'],"['I', 'my']"
He was asked for his thumb fingerprint.,"['thumb', 'fingerprint']","['He', 'his']"
,[],[]
She had a nose job.,"['nose', 'job']",['She']
Shut your mouth when you eat.,['mouth'],"['your', 'you']"
Do I have an eyelash in my eye?,"['eyelash', 'eye']","['I', 'my']"
His ears are red because of the cold.,"['ears', 'cold']",['His']
He opened his chin when he fell off his bike.,"['chin', 'bike']","['He', 'his', 'he']"
He has a pimple on the forehead.,"['pimple', 'forehead']",['He']
She has curly hair.,['hair'],['She']
"Your hairs have clogged the sink, you have to be more careful when you shave.","['hairs', 'sink']","['Your', 'you', 'you']"
She has a beauty spot on the left buttock.,"['beauty', 'spot', 'buttock']",['She']
He has a big bruise on his thigh.,"['bruise', 'thigh']","['He', 'his']"
She has cramp in her calf.,"['cramp', 'calf']","['She', 'her']"
She kicked him in the tibia.,[],"['She', 'him']"
His abdomen had to be opened to make the operation possible.,"['abdomen', 'operation']",['His']
His stomach pain went away quickly.,"['stomach', 'pain']",['His']
Your intestines can be upset when you eat spicy food.,"['intestines', 'food']","['Your', 'you']"
He was given a liver transplant.,"['liver', 'transplant']",['He']
He had a sunburnt three weeks ago and now his skin is peeling.,"['weeks', 'skin']","['He', 'his']"
He was given a kidney transplant.,"['kidney', 'transplant']",['He']
Bacterias enter the bladder when you suffer from a urinary infection.,"['bladder', 'infection']",['you']
You should pay more attention to your back if you do not want to end up with a cane.,"['attention', 'back', 'cane']","['You', 'your', 'you']"
Her belly has been hurting since this morning.,"['belly', 'morning']",['Her']
Bones contain large amounts of calcium.,"['Bones', 'amounts', 'calcium']",[]
Fat mostly pile up during winter.,['winter'],[]
He has thin but strong muscles.,['muscles'],['He']
The way brain works is a highly researched subject.,"['way', 'brain', 'works']",[]
He underwent an operation to change sex.,"['operation', 'sex']",['He']
He gives his blood on a regular basis.,"['blood', 'basis']","['He', 'his']"
His neck veins are very apparent.,"['neck', 'veins']",['His']
He had had a lung radio.,"['lung', 'radio']",['He']
Heart beats can be heard thanks to a stethoscope.,"['Heart', 'beats', 'thanks']",[]
Arteries bring oxygened blood to organs.,"['Arteries', 'blood', 'organs']",[]
He gave her a kiss on the cheek.,"['kiss', 'cheek']","['He', 'her']"
He has been growing his beard for weeks.,"['beard', 'weeks']","['He', 'his']"
He is growing his mustache.,['mustache'],"['He', 'his']"
She has very long eyelashes.,['eyelashes'],['She']
He raised eyebrows out of disdain.,"['eyebrows', 'disdain']",['He']
My lips are chapped.,['lips'],['My']
The marketing strategy is to be rethinked.,"['marketing', 'strategy']",[]
Sales are taking a nose dive this month.,"['Sales', 'nose', 'dive']",[]
Investments in Europe are plummeting.,['Investments'],[]
The meeting was postponed by the new director.,"['meeting', 'director']",[]
We are looking for purchasers to buy the company.,"['purchasers', 'company']",['We']
His customer was rather satisfied.,['customer'],['His']
It is a high quality product.,"['quality', 'product']",['It']
He got big discounts on this product.,"['discounts', 'product']",['He']
It is the last day of sales.,"['day', 'sales']",['It']
Business was affected by economic sanctions.,"['Business', 'sanctions']",[]
The fair trade concept is fashionable.,"['trade', 'concept']",[]
You cannot buy anything on retail in this company.,"['retail', 'company']","['You', 'anything']"
An agreement has been found between the two companies.,"['agreement', 'companies']",[]
Negociations have failed.,['Negociations'],[]
We have to agree on a schedule as soon as possible.,['schedule'],['We']
His absence has been noticed.,['absence'],['His']
The presence of the CEO surprised the assembly.,"['presence', 'CEO', 'assembly']",[]
The lecture will start within a few minutes.,"['lecture', 'minutes']",[]
The deadline has been postponed by one week.,"['deadline', 'week']",[]
Our objective is to conquer the market in less than two year.,"['objective', 'market', 'year']",['Our']
